"","Timepoint","Mouse"
"MOUSE_CELL_1784","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1787","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1789","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1793","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1795","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1798","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1803","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1810","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1814","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1816","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1819","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1820","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1829","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1832","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1838","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1848","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1855","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1859","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1863","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1865","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1868","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1869","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1872","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1877","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1878","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1884","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1889","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1891","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1892","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1896","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1919","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1923","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1925","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1928","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1931","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1938","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1939","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1940","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1942","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1944","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1966","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1967","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1969","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1979","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1981","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1983","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1991","uninjured","uninjured_mouse_id_55"
"MOUSE_CELL_1998","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2000","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2005","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2006","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2018","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2046","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2055","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2066","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2081","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2092","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2099","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2101","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2112","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2118","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2130","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2135","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2144","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2148","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2150","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2165","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2176","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2187","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2188","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2194","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2197","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2204","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2208","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2211","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2216","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2222","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2226","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2240","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2242","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2257","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2260","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2262","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2271","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2275","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2280","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2287","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2295","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2297","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2300","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2315","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2329","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2343","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2360","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2366","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2375","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2398","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2404","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2407","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2418","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2433","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2443","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2453","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2467","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2470","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2473","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2474","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2477","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2481","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2483","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2492","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2494","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2495","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2508","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2511","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2513","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2532","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2535","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2543","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2545","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2552","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2564","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2567","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2571","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2573","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2577","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2581","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2601","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2602","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2608","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2616","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2617","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2624","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2626","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2628","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2641","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2647","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2649","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2651","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2654","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2660","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2663","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2670","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2672","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2674","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2680","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2694","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2709","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2714","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2737","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2739","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2743","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2770","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2778","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2779","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2784","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2788","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2790","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2795","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2796","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2803","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2808","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2814","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2839","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2842","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2847","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2850","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2854","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2868","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2879","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2892","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2900","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2901","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2911","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2919","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2925","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2956","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_2970","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3008","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3028","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3029","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3030","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3054","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3060","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3062","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3071","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3079","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3084","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3094","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3099","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3121","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3122","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3146","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3152","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3176","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3189","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3201","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3225","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3229","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3232","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3238","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3243","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3250","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3256","uninjured","uninjured_mouse_id_56"
"MOUSE_CELL_3276","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3277","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3283","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3284","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3302","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3307","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3308","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3309","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3314","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3315","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3320","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3336","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3350","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3358","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3365","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3381","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3383","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3384","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3386","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3389","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3392","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3401","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3411","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3426","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3434","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3441","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3458","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3460","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3470","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3475","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3481","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3487","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3492","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3500","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3509","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3511","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3513","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3516","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3518","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3532","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3541","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3557","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3559","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3570","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3574","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3594","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3595","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3604","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3609","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3614","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3615","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3623","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3628","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3632","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3643","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3645","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3646","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3647","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3654","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3655","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3658","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3659","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3669","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3684","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3699","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3703","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3710","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3718","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3719","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3727","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3731","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3742","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3760","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3761","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3768","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3773","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3781","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3783","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3784","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3790","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3799","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3802","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3805","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3820","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3821","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3823","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3824","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3829","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3839","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3851","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3860","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3868","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3874","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3875","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3882","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3883","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3892","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3894","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3910","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3919","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3925","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3926","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3928","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3933","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3934","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3935","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3949","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3950","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3952","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3958","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3971","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3976","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3983","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3985","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3989","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3992","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_3998","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4003","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4006","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4007","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4008","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4017","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4020","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4027","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4030","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4034","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4038","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4041","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4056","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4061","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4062","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4063","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4066","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4068","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4076","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4082","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4087","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4091","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4096","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4098","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4105","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4106","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4108","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4109","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4111","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4123","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4124","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4128","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4132","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4145","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4148","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4164","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4175","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4179","48hpi","48hpi_mouse_id_61"
"MOUSE_CELL_4200","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4204","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4208","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4209","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4211","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4220","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4225","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4238","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4241","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4248","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4250","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4251","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4261","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4263","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4264","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4269","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4273","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4278","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4289","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4291","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4304","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4307","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4312","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4315","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4317","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4318","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4328","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4331","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4334","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4337","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4343","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4347","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4359","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4360","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4371","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4377","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4379","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4384","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4387","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4388","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4393","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4396","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4414","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4421","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4426","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4431","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4434","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4436","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4437","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4441","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4447","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4449","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4450","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4456","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4461","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4463","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4465","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4483","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4491","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4505","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4506","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4507","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4508","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4514","uninjured","uninjured_mouse_id_57"
"MOUSE_CELL_4528","uninjured","uninjured_mouse_id_57"
