"","Timepoint","Mouse"
"MOUSE_CELL_575","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_576","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_581","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_589","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_596","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_603","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_609","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_613","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_618","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_619","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_633","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_641","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_644","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_649","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_663","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_664","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_671","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_678","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_685","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_692","uninjured","uninjured_mouse_id_54"
"MOUSE_CELL_712","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_714","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_715","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_720","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_729","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_734","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_736","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_750","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_751","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_753","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_754","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_757","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_758","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_760","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_763","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_765","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_767","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_769","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_770","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_774","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_775","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_778","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_780","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_788","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_790","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_792","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_794","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_795","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_796","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_798","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_800","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_801","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_808","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_809","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_813","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_817","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_818","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_820","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_821","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_824","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_825","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_826","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_828","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_830","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_831","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_836","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_837","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_838","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_839","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_841","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_842","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_848","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_850","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_855","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_857","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_859","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_867","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_868","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_870","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_873","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_875","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_876","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_877","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_878","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_882","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_884","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_886","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_888","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_889","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_890","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_891","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_892","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_894","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_901","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_902","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_906","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_907","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_915","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_917","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_927","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_928","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_929","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_931","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_938","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_941","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_942","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_943","24hpi","24hpi_mouse_id_59"
"MOUSE_CELL_944","24hpi","24hpi_mouse_id_59"
