gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
CHAF1A,3.49878405849979E-99,2.94079199949425,0.411,0.036,1.66846515397679E-94,8
RPS141,3.07532277502399E-99,0.390145356002879,0.87,0.441,1.46652917172569E-94,4
DDX5,2.42661198236452E-99,0.861785037917831,0.567,0.342,1.15717845603017E-94,1
LRRFIP1,1.8195933754418E-99,0.674342188067674,0.519,0.23,8.67709492946932E-95,4
CNBP,1.38705448682464E-99,0.978302964934016,0.307,0.103,6.61444673132064E-95,4
ELF31,1.04007007506612E-99,0.431320419625882,0.467,0.214,4.95978216696778E-95,1
BCAS1,9.24215583515858E-100,0.874956840008849,0.278,0.103,4.40730685311207E-95,1
TSPAN11,9.01153539825501E-100,0.365257114884156,0.786,0.386,4.29733088536587E-95,5
RFC4,2.57744792988786E-100,3.00704102074772,0.25,0.013,1.22910759432562E-95,8
IRF1,2.15130248368008E-100,0.960007385518824,0.375,0.139,1.02589161539252E-95,4
PKN2,2.12145872335452E-100,1.23791759811373,0.265,0.077,1.01166002140607E-95,5
HLA-G,1.72527019579501E-100,0.769205426832295,0.365,0.134,8.22729598268768E-96,4
BTF3,1.58368589410583E-100,1.11492602325516,0.44,0.211,7.55212292322248E-96,3
DUSP5,1.50662917649911E-100,3.01199728897965,0.263,0.046,7.18466255397129E-96,7
CTSS,1.41007972187361E-100,1.78202473026283,0.359,0.177,6.7242471696987E-96,2
DCAF5,1.39034733764043E-100,1.15532571882281,0.255,0.074,6.63014934900591E-96,4
PCNA,1.33997711649357E-100,3.39263084674512,0.379,0.031,6.38994887542287E-96,8
FXYD3,1.25703312363022E-100,1.58771157505253,0.32,0.138,5.99441385665542E-96,2
RPL61,1.09552624650053E-100,0.787215216144953,0.356,0.127,5.22423601168708E-96,4
SP1101,7.844514915879E-101,0.665418872889128,0.446,0.176,3.74081382793522E-96,4
CNN2,5.14154627872727E-101,1.06449803832342,0.255,0.074,2.45184917393667E-96,4
MIDN,4.69242170984569E-101,1.17552339673773,0.275,0.085,2.23767514077411E-96,4
TSC22D3,3.90029372937198E-101,0.822432817095085,0.388,0.16,1.85993307072562E-96,3
NPC2,3.11514343034521E-101,2.75251981791036,0.275,0.049,1.48551844762872E-96,7
DUT,2.90262129508243E-101,3.0134260554897,0.516,0.057,1.38417301698596E-96,8
CSTB,1.00027574313547E-101,0.779826154950396,0.313,0.098,4.77001493629013E-97,5
TAGLN21,8.63909442101483E-102,0.731021476486033,0.449,0.181,4.11972495654934E-97,4
IFIH1,7.3208553605861E-102,1.11291703728775,0.27,0.078,3.49109629580269E-97,5
CYP2B7P,2.88732247956151E-102,0.509736852794022,0.31,0.117,1.3768774708285E-97,1
PSMB91,2.08666231797666E-102,0.892902429591699,0.365,0.133,9.95066659573532E-98,4
ABLIM1,1.35524675529282E-102,0.966393144184645,0.305,0.094,6.46276520196486E-98,5
RPS131,8.39191392970318E-103,0.325983876512161,0.72,0.331,4.00185199565756E-98,4
CDK5RAP2,7.1295831699337E-103,1.14414371863793,0.284,0.109,3.39988432624628E-98,1
SMCHD1,7.01456125141646E-103,1.14160031443868,0.384,0.143,3.34503382396297E-98,5
